datetime,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2020-08-11 4:00:00,2.85,3.47,2.85,2.9224,62101.63,1597132799999,186599.1249,739,23866.78,72000.30049,0
2020-08-11 8:00:00,2.9626,3.1,2.8433,3.0497,89812.46,1597147199999,262743.0354,874,32831.25,96597.30719,0
2020-08-11 12:00:00,3.0497,3.5208,2.8625,3.19,902874.94,1597161599999,2900385.362,7159,443787.22,1425806.259,0
2020-08-11 16:00:00,3.1751,3.384,3.1143,3.1886,254050.22,1597175999999,826754.6144,2324,126672.87,413196.7764,0
2020-08-11 20:00:00,3.1938,3.3191,2.95,3.2985,243545.53,1597190399999,762666.8015,2394,114612.67,362592.0383,0
2020-08-12 0:00:00,3.2985,3.32,3.08,3.2802,226276.63,1597204799999,723448.592,2096,102155.71,327634.9375,0
2020-08-12 4:00:00,3.2802,3.3661,3.1323,3.3661,188444.93,1597219199999,608213.9315,2527,107447.45,346689.0886,0
2020-08-12 8:00:00,3.3577,3.9289,3.35,3.6842,795196.72,1597233599999,2875246.101,8610,411068.84,1482535.348,0
2020-08-12 12:00:00,3.6733,3.9,3.6434,3.7678,267541.97,1597247999999,1003979.408,3665,145303.76,546560.7881,0
2020-08-12 16:00:00,3.7704,3.8423,3.6,3.6788,173511.5,1597262399999,644054.1774,2591,78619.24,292005.2926,0
2020-08-12 20:00:00,3.6788,3.8225,3.6652,3.7558,86071.2,1597276799999,321211.5153,1629,44538.5,166518.8144,0
2020-08-13 0:00:00,3.75,3.8512,3.5537,3.7593,186203.13,1597291199999,695089.0612,2590,58623.03,218823.7251,0
2020-08-13 4:00:00,3.7404,4.1387,3.6243,4.0785,335027.51,1597305599999,1301834.934,5123,179608.83,700662.3903,0
2020-08-13 8:00:00,4.0946,4.1222,3.5003,3.87,548093.97,1597319999999,2094325.272,6340,219565.01,843010.7381,0
2020-08-13 12:00:00,3.87,4.0555,3.8,3.8065,256999.54,1597334399999,1004743.519,3445,115515.57,452820.3897,0
2020-08-13 16:00:00,3.8065,3.9645,3.7698,3.8566,144099.38,1597348799999,552696.586,2377,63867.75,245512.0675,0
2020-08-13 20:00:00,3.8549,3.87,3.5385,3.73,215335.71,1597363199999,797878.6089,3047,79178.27,294935.4373,0
2020-08-14 0:00:00,3.7207,3.7676,3.5717,3.625,185069.51,1597377599999,671143.3936,2056,63352.36,229690.4798,0
2020-08-14 4:00:00,3.6251,3.7517,3.5,3.55,221772.67,1597391999999,801711.522,2772,82509.1,298689.3146,0
2020-08-14 8:00:00,3.5327,3.7598,3.4267,3.7173,378167.48,1597406399999,1347264.003,4857,180610.31,645152.2716,0
2020-08-14 12:00:00,3.7036,3.7133,3.5106,3.5788,209465.81,1597420799999,750400.905,2595,99621.73,356796.1828,0
2020-08-14 16:00:00,3.5753,3.5881,3.321,3.3792,337259.47,1597435199999,1150093.027,4129,109074.59,369495.2844,0
2020-08-14 20:00:00,3.3792,3.4897,3.3321,3.4099,142426.85,1597449599999,485221.2456,2172,43483.75,149073.1223,0
